date,channel,campaign,impressions,clicks,spend,conversions,revenue
6/1/2026,Google Search,Google Search - Summer Sale,5154,186,167.09,12,556.74
6/1/2026,Facebook,Facebook - Summer Sale,3604,72,134.47,4,122.13
6/1/2026,Instagram,Instagram - Summer Sale,2530,24,75.35,1,27.81
6/2/2026,Google Search,Google Search - Summer Sale,5233,217,186.4,14,712.5
6/2/2026,Facebook,Facebook - Summer Sale,4328,92,168.14,6,183.21
6/2/2026,Instagram,Instagram - Summer Sale,2784,27,96.51,2,50.93
6/3/2026,Google Search,Google Search - Summer Sale,4599,177,144.93,12,545.21
6/3/2026,Facebook,Facebook - Summer Sale,3970,76,143.79,5,156.56
6/3/2026,Instagram,Instagram - Summer Sale,3349,39,137.72,2,51.92
6/4/2026,Google Search,Google Search - Summer Sale,4571,162,128.88,11,503.78
6/4/2026,Facebook,Facebook - Summer Sale,3738,79,135.41,5,165.02
6/4/2026,Instagram,Instagram - Summer Sale,2666,28,87.52,2,59.37
6/5/2026,Google Search,Google Search - Summer Sale,5163,184,161.37,13,616.83
6/5/2026,Facebook,Facebook - Summer Sale,3973,73,138.47,5,156.71
6/5/2026,Instagram,Instagram - Summer Sale,3201,33,114.21,2,58.22
6/6/2026,Google Search,Google Search - Summer Sale,5324,203,163.12,13,707.58
6/6/2026,Facebook,Facebook - Summer Sale,4397,89,148.08,6,199.85
6/6/2026,Instagram,Instagram - Summer Sale,3158,34,107.4,2,55.61
6/7/2026,Google Search,Google Search - Summer Sale,4769,203,169.64,15,729.3
6/7/2026,Facebook,Facebook - Summer Sale,3641,69,112.28,4,114.63
6/7/2026,Instagram,Instagram - Summer Sale,3142,30,102.25,2,53.85
6/8/2026,Google Search,Google Search - Summer Sale,5110,230,196.84,18,964.94
6/8/2026,Facebook,Facebook - Summer Sale,3511,71,116.04,6,195.03
6/8/2026,Instagram,Instagram - Summer Sale,3287,38,116.54,2,54.54
6/9/2026,Google Search,Google Search - Summer Sale,5476,231,206.5,18,947.15
6/9/2026,Facebook,Facebook - Summer Sale,4019,86,160.06,6,191
6/9/2026,Instagram,Instagram - Summer Sale,3123,31,99.95,2,59.53
6/10/2026,Google Search,Google Search - Summer Sale,5444,219,164.28,15,677.92
6/10/2026,Facebook,Facebook - Summer Sale,4451,81,153.54,6,176.62
6/10/2026,Instagram,Instagram - Summer Sale,2746,34,121.32,2,54.86
6/11/2026,Google Search,Google Search - Summer Sale,4570,205,175.59,13,670.77
6/11/2026,Facebook,Facebook - Summer Sale,4469,86,144.44,7,213.77
6/11/2026,Instagram,Instagram - Summer Sale,2716,35,120.86,2,57.13
6/12/2026,Google Search,Google Search - Summer Sale,4908,221,194.47,15,752.64
6/12/2026,Facebook,Facebook - Summer Sale,3623,63,102.01,4,125.29
6/12/2026,Instagram,Instagram - Summer Sale,3102,31,94.32,2,52.29
6/13/2026,Google Search,Google Search - Summer Sale,5427,192,156.69,13,621.2
6/13/2026,Facebook,Facebook - Summer Sale,3997,69,113.14,5,157.13
6/13/2026,Instagram,Instagram - Summer Sale,2984,30,98.51,2,50.94
6/14/2026,Google Search,Google Search - Summer Sale,5174,203,169.45,14,732.07
6/14/2026,Facebook,Facebook - Summer Sale,4189,83,148.89,5,161.85
6/14/2026,Instagram,Instagram - Summer Sale,3319,41,129.12,2,54.49
